State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
25,0,0,0,0,0,STATE,DAMAN & DIU,Urban,48212,182851,117906,64945,19496,10295,9201,3957,2043,1914,7746,3928,3818,145317,99114,46203,37534,18792,18742,97968,88572,9396,95000,86483,8517,596,523,73,170,138,32,261,201,60,93973,85621,8352,2968,2089,879,66,31,35,51,31,20,91,19,72,2760,2008,752,2076,1362,714,60,25,35,37,22,15,82,17,65,1897,1298,599,892,727,165,6,6,0,14,9,5,9,2,7,863,710,153,84883,29334,55549
26,0,0,0,0,0,STATE,DADRA & NAGAR HAVELI,Total,76458,343709,193760,149949,50895,26431,24464,6186,3339,2847,178564,88844,89720,223230,142521,80709,120479,51239,69240,157161,119293,37868,130299,109125,21174,22707,16486,6221,6184,3119,3065,1566,1151,415,99842,88369,11473,26862,10168,16694,5457,1810,3647,11615,2334,9281,629,218,411,9161,5806,3355,22915,8364,14551,4742,1462,3280,9763,1845,7918,541,185,356,7869,4872,2997,3947,1804,2143,715,348,367,1852,489,1363,88,33,55,1292,934,358,186548,74467,112081
26,0,0,0,0,0,STATE,DADRA & NAGAR HAVELI,Rural,36094,183114,98305,84809,28504,14467,14037,1296,771,525,150944,75049,75895,99142,64050,35092,83972,34255,49717,84123,55803,28320,62211,48239,13972,21050,15098,5952,5456,2673,2783,977,694,283,34728,29774,4954,21912,7564,14348,5090,1662,3428,11113,2219,8894,379,111,268,5330,3572,1758,18506,6115,12391,4431,1333,3098,9310,1742,7568,314,86,228,4451,2954,1497,3406,1449,1957,659,329,330,1803,477,1326,65,25,40,879,618,261,98991,42502,56489
26,0,0,0,0,0,STATE,DADRA & NAGAR HAVELI,Urban,40364,160595,95455,65140,22391,11964,10427,4890,2568,2322,27620,13795,13825,124088,78471,45617,36507,16984,19523,73038,63490,9548,68088,60886,7202,1657,1388,269,728,446,282,589,457,132,65114,58595,6519,4950,2604,2346,367,148,219,502,115,387,250,107,143,3831,2234,1597,4409,2249,2160,311,129,182,453,103,350,227,99,128,3418,1918,1500,541,355,186,56,19,37,49,12,37,23,8,15,413,316,97,87557,31965,55592
27,0,0,0,0,0,STATE,MAHARASHTRA,Total,24421519,112374333,58243056,54131277,13326517,7035391,6291126,13275898,6767759,6508139,10510213,5315025,5195188,81554290,45257584,36296706,30820043,12985472,17834571,49427878,32616875,16811003,43762890,29989314,13773576,11478075,7181136,4296939,11068928,5846810,5222118,991310,606540,384770,20224577,16354828,3869749,5664988,2627561,3037427,1091298,411177,680121,2417212,927728,1489484,234116,84215,149901,1922362,1204441,717921,4828248,2239979,2588269,910274,337726,572548,2102263,808648,1293615,179677,65772,113905,1636034,1027833,608201,836740,387582,449158,181024,73451,107573,314949,119080,195869,54439,18443,35996,286328,176608,109720,62946455,25626181,37320274
27,0,0,0,0,0,STATE,MAHARASHTRA,Rural,13214738,61556074,31539034,30017040,7688954,4067399,3621555,7494819,3825053,3669766,9006077,4540456,4465621,41482761,23391475,18091286,20073313,8147559,11925754,30650871,17887071,12763800,26510066,16188697,10321369,11170114,6938469,4231645,10449281,5451250,4998031,444965,264175,180790,4445706,3534803,910903,4140805,1698374,2442431,1046449,386411,660038,2271712,855898,1415814,134724,47712,87012,687920,408353,279567,3521064,1442501,2078563,868588,314626,553962,1977391,746396,1230995,102358,36900,65458,572727,344579,228148,619741,255873,363868,177861,71785,106076,294321,109502,184819,32366,10812,21554,115193,63774,51419,30905203,13651963,17253240
27,0,0,0,0,0,STATE,MAHARASHTRA,Urban,11206781,50818259,26704022,24114237,5637563,2967992,2669571,5781079,2942706,2838373,1504136,774569,729567,40071529,21866109,18205420,10746730,4837913,5908817,18777007,14729804,4047203,17252824,13800617,3452207,307961,242667,65294,619647,395560,224087,546345,342365,203980,15778871,12820025,2958846,1524183,929187,594996,44849,24766,20083,145500,71830,73670,99392,36503,62889,1234442,796088,438354,1307184,797478,509706,41686,23100,18586,124872,62252,62620,77319,28872,48447,1063307,683254,380053,216999,131709,85290,3163,1666,1497,20628,9578,11050,22073,7631,14442,171135,112834,58301,32041252,11974218,20067034
28,0,0,0,0,0,STATE,ANDHRA PRADESH,Total,21022588,84580777,42442146,42138631,9142802,4714950,4427852,13878078,6913047,6965031,5918073,2969362,2948711,50556760,28251243,22305517,34024017,14190903,19833114,39422906,24185595,15237311,33037378,21460081,11577297,6087607,4183319,1904288,13201989,6787204,6414785,1164314,549534,614780,12583468,9940024,2643444,6385528,2725514,3660014,403915,173985,229930,3765765,1342818,2422947,274823,93558,181265,1941025,1115153,825872,5547424,2378533,3168891,348104,148236,199868,3285579,1178463,2107116,221173,74105,147068,1692568,977729,714839,838104,346981,491123,55811,25749,30062,480186,164355,315831,53650,19453,34197,248457,137424,111033,45157871,18256551,26901320
28,0,0,0,0,0,STATE,ANDHRA PRADESH,Rural,14234387,56361702,28243241,28118461,6152022,3169288,2982734,10846333,5417474,5428859,5232129,2620892,2611237,30351065,17395600,12955465,26010637,10847641,15162996,29052307,16498189,12554118,24142968,14585917,9557051,5902131,4038316,1863815,12538929,6401648,6137281,741614,312226,429388,4960294,3833727,1126567,4909339,1912272,2997067,365757,154460,211297,3563688,1255218,2308470,171942,54199,117743,807952,448395,359557,4245503,1663176,2582327,311160,129458,181702,3111775,1102677,2009098,138478,43449,95029,684090,387592,296498,663836,249096,414740,54597,25002,29595,451913,152541,299372,33464,10750,22714,123862,60803,63059,27309395,11745052,15564343
28,0,0,0,0,0,STATE,ANDHRA PRADESH,Urban,6788201,28219075,14198905,14020170,2990780,1545662,1445118,3031745,1495573,1536172,685944,348470,337474,20205695,10855643,9350052,8013380,3343262,4670118,10370599,7687406,2683193,8894410,6874164,2020246,185476,145003,40473,663060,385556,277504,422700,237308,185392,7623174,6106297,1516877,1476189,813242,662947,38158,19525,18633,202077,87600,114477,102881,39359,63522,1133073,666758,466315,1301921,715357,586564,36944,18778,18166,173804,75786,98018,82695,30656,52039,1008478,590137,418341,174268,97885,76383,1214,747,467,28273,11814,16459,20186,8703,11483,124595,76621,47974,17848476,6511499,11336977
29,0,0,0,0,0,STATE,KARNATAKA,Total,13357027,61095297,30966657,30128640,7161033,3675291,3485742,10474992,5264545,5210447,4248987,2134754,2114233,40647322,22508471,18138851,20447975,8458186,11989789,27872597,18270116,9602481,23397181,16349837,7047344,6038309,4568505,1469804,5119921,2609098,2510823,695841,353513,342328,11543110,8818721,2724389,4475416,1920279,2555137,542340,185203,357137,2036042,674181,1361861,217386,85470,131916,1679648,975425,704223,3931647,1668094,2263553,474719,159098,315621,1872930,615496,1257434,173605,67193,106412,1410393,826307,584086,543769,252185,291584,67621,26105,41516,163112,58685,104427,43781,18277,25504,269255,149118,120137,33222700,12696541,20526159
29,0,0,0,0,0,STATE,KARNATAKA,Rural,7946657,37469335,18929354,18539981,4517645,2317069,2200576,7495763,3771506,3724257,3429791,1723762,1706029,22649176,12893437,9755739,14820159,6035917,8784242,18502230,11311426,7190804,15060905,10003021,5057884,5824702,4394613,1430089,4795763,2415657,2380106,378691,178311,200380,4061749,3014440,1047309,3441325,1308405,2132920,516228,171064,345164,1941450,631459,1309991,143909,52175,91734,839738,453707,386031,3036548,1140372,1896176,450101,145760,304341,1788696,577507,1211189,114942,40907,74035,682809,376198,306611,404777,168033,236744,66127,25304,40823,152754,53952,98802,28967,11268,17699,156929,77509,79420,18967105,7617928,11349177
29,0,0,0,0,0,STATE,KARNATAKA,Urban,5410370,23625962,12037303,11588659,2643388,1358222,1285166,2979229,1493039,1486190,819196,410992,408204,17998146,9615034,8383112,5627816,2422269,3205547,9370367,6958690,2411677,8336276,6346816,1989460,213607,173892,39715,324158,193441,130717,317150,175202,141948,7481361,5804281,1677080,1034091,611874,422217,26112,14139,11973,94592,42722,51870,73477,33295,40182,839910,521718,318192,895099,527722,367377,24618,13338,11280,84234,37989,46245,58663,26286,32377,727584,450109,277475,138992,84152,54840,1494,801,693,10358,4733,5625,14814,7009,7805,112326,71609,40717,14255595,5078613,9176982
30,0,0,0,0,0,STATE,GOA,Total,343611,1458545,739140,719405,144611,74460,70151,25449,12627,12822,149275,72948,76327,1165487,615823,549664,293058,123317,169741,577248,419536,157712,476053,356967,119086,24062,14866,9196,10758,6532,4226,10780,7951,2829,430453,327618,102835,101195,62569,38626,7292,3982,3310,16002,8284,7718,3928,1866,2062,73973,48437,25536,80846,50303,30543,5569,3111,2458,11105,5797,5308,2943,1496,1447,61229,39899,21330,20349,12266,8083,1723,871,852,4897,2487,2410,985,370,615,12744,8538,4206,881297,319604,561693
30,0,0,0,0,0,STATE,GOA,Rural,128208,551731,275436,276295,54014,27772,26242,9461,4634,4827,87639,43263,44376,431271,227143,204128,120460,48293,72167,215536,152986,62550,164519,122042,42477,20546,12353,8193,8024,4704,3320,4284,3264,1020,131665,101721,29944,51017,30944,20073,5729,3121,2608,12484,6332,6152,2115,1060,1055,30689,20431,10258,38957,24120,14837,4232,2364,1868,8589,4431,4158,1479,817,662,24657,16508,8149,12060,6824,5236,1497,757,740,3895,1901,1994,636,243,393,6032,3923,2109,336195,122450,213745
30,0,0,0,0,0,STATE,GOA,Urban,215403,906814,463704,443110,90597,46688,43909,15988,7993,7995,61636,29685,31951,734216,388680,345536,172598,75024,97574,361712,266550,95162,311534,234925,76609,3516,2513,1003,2734,1828,906,6496,4687,1809,298788,225897,72891,50178,31625,18553,1563,861,702,3518,1952,1566,1813,806,1007,43284,28006,15278,41889,26183,15706,1337,747,590,2516,1366,1150,1464,679,785,36572,23391,13181,8289,5442,2847,226,114,112,1002,586,416,349,127,222,6712,4615,2097,545102,197154,347948
31,0,0,0,0,0,STATE,LAKSHADWEEP,Total,11574,64473,33123,31350,7255,3797,3458,0,0,0,61120,30515,30605,52553,28023,24530,11920,5100,6820,18753,15318,3435,10804,9137,1667,0,0,0,0,0,0,97,66,31,10707,9071,1636,7949,6181,1768,0,0,0,0,0,0,167,68,99,7782,6113,1669,5362,4265,1097,0,0,0,0,0,0,121,42,79,5241,4223,1018,2587,1916,671,0,0,0,0,0,0,46,26,20,2541,1890,651,45720,17805,27915
31,0,0,0,0,0,STATE,LAKSHADWEEP,Rural,2710,14141,7243,6898,1815,950,865,0,0,0,13463,6752,6711,11288,5949,5339,2853,1294,1559,4653,3787,866,2225,1878,347,0,0,0,0,0,0,20,9,11,2205,1869,336,2428,1909,519,0,0,0,0,0,0,73,17,56,2355,1892,463,1921,1543,378,0,0,0,0,0,0,60,11,49,1861,1532,329,507,366,141,0,0,0,0,0,0,13,6,7,494,360,134,9488,3456,6032
31,0,0,0,0,0,STATE,LAKSHADWEEP,Urban,8864,50332,25880,24452,5440,2847,2593,0,0,0,47657,23763,23894,41265,22074,19191,9067,3806,5261,14100,11531,2569,8579,7259,1320,0,0,0,0,0,0,77,57,20,8502,7202,1300,5521,4272,1249,0,0,0,0,0,0,94,51,43,5427,4221,1206,3441,2722,719,0,0,0,0,0,0,61,31,30,3380,2691,689,2080,1550,530,0,0,0,0,0,0,33,20,13,2047,1530,517,36232,14349,21883
32,0,0,0,0,0,STATE,KERALA,Total,7853754,33406061,16027412,17378649,3472955,1768244,1704711,3039573,1477808,1561765,484839,238203,246636,28135824,13704903,14430921,5270237,2322509,2947728,11619063,8451569,3167494,9329747,7179828,2149919,544932,465546,79386,919136,629092,290044,198281,132111,66170,7667398,5953079,1714319,2289316,1271741,1017575,125321,81360,43961,403714,228903,174811,74741,32504,42237,1685540,928974,756566,1828203,1061697,766506,99718,65980,33738,322129,189591,132538,57615,25818,31797,1348741,780308,568433,461113,210044,251069,25603,15380,10223,81585,39312,42273,17126,6686,10440,336799,148666,188133,21786998,7575843,14211155
32,0,0,0,0,0,STATE,KERALA,Rural,4149641,17471135,8408054,9063081,1823664,927888,895776,1818281,883819,934462,433092,213208,219884,14549320,7132430,7416890,2921815,1275624,1646191,6341957,4507501,1834456,4930191,3743078,1187113,481651,410532,71119,760632,510300,250332,104642,68889,35753,3583266,2753357,829909,1411766,764423,647343,105378,68349,37029,322371,179994,142377,46285,20508,25777,937732,495572,442160,1117029,635147,481882,83091,55059,28032,258394,149475,108919,35622,16378,19244,739922,414235,325687,294737,129276,165461,22287,13290,8997,63977,30519,33458,10663,4130,6533,197810,81337,116473,11129178,3900553,7228625
32,0,0,0,0,0,STATE,KERALA,Urban,3704113,15934926,7619358,8315568,1649291,840356,808935,1221292,593989,627303,51747,24995,26752,13586504,6572473,7014031,2348422,1046885,1301537,5277106,3944068,1333038,4399556,3436750,962806,63281,55014,8267,158504,118792,39712,93639,63222,30417,4084132,3199722,884410,877550,507318,370232,19943,13011,6932,81343,48909,32434,28456,11996,16460,747808,433402,314406,711174,426550,284624,16627,10921,5706,63735,40116,23619,21993,9440,12553,608819,366073,242746,166376,80768,85608,3316,2090,1226,17608,8793,8815,6463,2556,3907,138989,67329,71660,10657820,3675290,6982530
33,0,0,0,0,0,STATE,TAMIL NADU,Total,18524982,72147030,36137975,36009055,7423832,3820276,3603556,14438445,7204687,7233758,794697,401068,393629,51837507,28040491,23797016,20309523,8097484,12212039,32884681,21434978,11449703,27942181,18961194,8980987,3855375,2512165,1343210,7234101,3808523,3425578,1119458,514637,604821,15733247,12125869,3607378,4942500,2473784,2468716,393082,220314,172768,2372446,1034184,1338262,245435,76495,168940,1931537,1142791,788746,4219345,2137221,2082124,348147,196962,151185,2040284,903104,1137180,187272,59371,127901,1643642,977784,665858,723155,336563,386592,44935,23352,21583,332162,131080,201082,58163,17124,41039,287895,165007,122888,39262349,14702997,24559352
33,0,0,0,0,0,STATE,TAMIL NADU,Rural,9528495,37229590,18679065,18550525,3911302,2020550,1890752,9475475,4736003,4739472,660280,333178,327102,24502195,13665839,10836356,12727395,5013226,7714169,18861330,11214535,7646795,15339116,9552474,5786642,3526374,2276871,1249503,6252943,3240547,3012396,555619,242723,312896,5004180,3792333,1211847,3522214,1662061,1860153,359283,199440,159843,2155158,921652,1233506,146078,46480,99598,861695,494489,367206,3010774,1444865,1565909,317038,177847,139191,1858949,807778,1051171,111630,36421,75209,723157,422819,300338,511440,217196,294244,42245,21593,20652,296209,113874,182335,34448,10059,24389,138538,71670,66868,18368260,7464530,10903730
33,0,0,0,0,0,STATE,TAMIL NADU,Urban,8996487,34917440,17458910,17458530,3512530,1799726,1712804,4962970,2468684,2494286,134417,67890,66527,27335312,14374652,12960660,7582128,3084258,4497870,14023351,10220443,3802908,12603065,9408720,3194345,329001,235294,93707,981158,567976,413182,563839,271914,291925,10729067,8333536,2395531,1420286,811723,608563,33799,20874,12925,217288,112532,104756,99357,30015,69342,1069842,648302,421540,1208571,692356,516215,31109,19115,11994,181335,95326,86009,75642,22950,52692,920485,554965,365520,211715,119367,92348,2690,1759,931,35953,17206,18747,23715,7065,16650,149357,93337,56020,20894089,7238467,13655622
34,0,0,0,0,0,STATE,PUDUCHERRY,Total,302450,1247953,612511,635442,132858,67527,65331,196325,95512,100813,0,0,0,957309,497378,459931,290644,115133,175511,444968,332931,112037,399689,306409,93280,10763,9187,1576,50607,33410,17197,6373,3520,2853,331946,260292,71654,45279,26522,18757,1336,846,490,17784,9384,8400,1519,527,992,24640,15765,8875,35827,21411,14416,1082,689,393,13607,7396,6211,1116,392,724,20022,12934,7088,9452,5111,4341,254,157,97,4177,1988,2189,403,135,268,4618,2831,1787,802985,279580,523405
34,0,0,0,0,0,STATE,PUDUCHERRY,Rural,95018,395200,194907,200293,44514,22798,21716,110425,53793,56632,0,0,0,280882,150490,130392,114318,44417,69901,147876,105705,42171,122188,91068,31120,8014,6760,1254,42434,27078,15356,2030,1133,897,69710,56097,13613,25688,14637,11051,983,639,344,15825,8319,7506,673,249,424,8207,5430,2777,19966,11706,8260,777,515,262,12210,6612,5598,485,178,307,6494,4401,2093,5722,2931,2791,206,124,82,3615,1707,1908,188,71,117,1713,1029,684,247324,89202,158122
34,0,0,0,0,0,STATE,PUDUCHERRY,Urban,207432,852753,417604,435149,88344,44729,43615,85900,41719,44181,0,0,0,676427,346888,329539,176326,70716,105610,297092,227226,69866,277501,215341,62160,2749,2427,322,8173,6332,1841,4343,2387,1956,262236,204195,58041,19591,11885,7706,353,207,146,1959,1065,894,846,278,568,16433,10335,6098,15861,9705,6156,305,174,131,1397,784,613,631,214,417,13528,8533,4995,3730,2180,1550,48,33,15,562,281,281,215,64,151,2905,1802,1103,555661,190378,365283
35,0,0,0,0,0,STATE,ANDAMAN & NICOBAR ISLANDS,Total,94551,380581,202871,177710,40878,20770,20108,0,0,0,28530,14731,13799,294281,164377,129904,86300,38494,47806,152535,120889,31646,125910,103619,22291,12997,10816,2181,2680,2340,340,1390,969,421,108843,89494,19349,26625,17270,9355,3570,1847,1723,2101,1404,697,2337,1293,1044,18617,12726,5891,21099,13856,7243,2864,1574,1290,1614,1121,493,1778,1011,767,14843,10150,4693,5526,3414,2112,706,273,433,487,283,204,559,282,277,3774,2576,1198,228046,81982,146064
35,0,0,0,0,0,STATE,ANDAMAN & NICOBAR ISLANDS,Rural,58530,237093,126287,110806,26415,13370,13045,0,0,0,26715,13837,12878,178025,99960,78065,59068,26327,32741,94469,74670,19799,72366,60411,11955,12706,10564,2142,2562,2241,321,1017,717,300,56081,46889,9192,22103,14259,7844,3479,1800,1679,2058,1373,685,2263,1256,1007,14303,9830,4473,17196,11280,5916,2778,1530,1248,1575,1092,483,1710,978,732,11133,7680,3453,4907,2979,1928,701,270,431,483,281,202,553,278,275,3170,2150,1020,142624,51617,91007
35,0,0,0,0,0,STATE,ANDAMAN & NICOBAR ISLANDS,Urban,36021,143488,76584,66904,14463,7400,7063,0,0,0,1815,894,921,116256,64417,51839,27232,12167,15065,58066,46219,11847,53544,43208,10336,291,252,39,118,99,19,373,252,121,52762,42605,10157,4522,3011,1511,91,47,44,43,31,12,74,37,37,4314,2896,1418,3903,2576,1327,86,44,42,39,29,10,68,33,35,3710,2470,1240,619,435,184,5,3,2,4,2,2,6,4,2,604,426,178,85422,30365,55057
