State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
7,0,0,0,0,0,STATE,NCT OF DELHI,Urban,3356425,16368899,8761005,7607894,1955738,1044181,911557,2730126,1444982,1285144,0,0,0,12441167,7020529,5420638,3927732,1740476,2187256,5456822,4650526,806296,5188819,4459142,729677,15917,13868,2049,25351,20797,4554,166466,143975,22491,4981085,4280502,700583,268003,191384,76619,3867,2310,1557,5596,4082,1514,12102,6425,5677,246438,178567,67871,225651,160503,65148,3656,2168,1488,4580,3323,1257,9590,5244,4346,207825,149768,58057,42352,30881,11471,211,142,69,1016,759,257,2512,1181,1331,38613,28799,9814,10912077,4110479,6801598
8,0,0,0,0,0,STATE,RAJASTHAN,Total,12711146,68548437,35550997,32997440,10649504,5639176,5010328,12221593,6355564,5866029,9238534,4742943,4495591,38275282,23688412,14586870,30273155,11862585,18410570,29886255,18297076,11589179,21057968,15243537,5814431,9845353,6365757,3479596,2195304,1281039,914265,503067,360510,142557,8514244,7236231,1278013,8828287,3053539,5774748,3773517,1152729,2620788,2744360,851630,1892730,217506,75051,142455,2092904,974129,1118775,7015250,2406685,4608565,2934795,828209,2106586,2264029,708984,1555045,169282,59056,110226,1647144,810436,836708,1813037,646854,1166183,838722,324520,514202,480331,142646,337685,48224,15995,32229,445760,163693,282067,38662182,17253921,21408261
8,0,0,0,0,0,STATE,RAJASTHAN,Rural,9494903,51500352,26641747,24858605,8414883,4446599,3968284,9536963,4958563,4578400,8693123,4454816,4238307,26471786,16904589,9567197,25028566,9737158,15291408,24385233,13775469,10609764,16173343,11069837,5103506,9632800,6213533,3419267,2072869,1192814,880055,275153,190152,85001,4192521,3473338,719183,8211890,2705632,5506258,3725233,1136291,2588942,2661048,820329,1840719,171795,57536,114259,1653814,691476,962338,6491836,2104692,4387144,2894339,814497,2079842,2195711,681793,1513918,132127,44586,87541,1269659,563816,705843,1720054,600940,1119114,830894,321794,509100,465337,138536,326801,39668,12950,26718,384155,127660,256495,27115119,12866278,14248841
8,0,0,0,0,0,STATE,RAJASTHAN,Urban,3216243,17048085,8909250,8138835,2234621,1192577,1042044,2684630,1397001,1287629,545411,288127,257284,11803496,6783823,5019673,5244589,2125427,3119162,5501022,4521607,979415,4884625,4173700,710925,212553,152224,60329,122435,88225,34210,227914,170358,57556,4321723,3762893,558830,616397,347907,268490,48284,16438,31846,83312,31301,52011,45711,17515,28196,439090,282653,156437,523414,301993,221421,40456,13712,26744,68318,27191,41127,37155,14470,22685,377485,246620,130865,92983,45914,47069,7828,2726,5102,14994,4110,10884,8556,3045,5511,61605,36033,25572,11547063,4387643,7159420
9,0,0,0,0,0,STATE,UTTAR PRADESH,Total,33448035,199812341,104480510,95331831,30791331,16185581,14605750,41357608,21676975,19680633,1134273,581083,553190,114397555,68234964,46162591,85414786,36245546,49169240,65814715,49846762,15967953,44635492,37420299,7215193,15576415,13727429,1848986,9749915,7777577,1972338,2409436,1669471,739965,16899726,14245822,2653904,21179223,12426463,8752760,3481473,1784104,1697369,10189308,6025865,4163443,1489154,684665,804489,6019288,3931829,2087459,16885149,10156804,6728345,2659798,1403710,1256088,8047428,4914351,3133077,1122193,528267,593926,5055730,3310476,1745254,4294074,2269659,2024415,821675,380394,441281,2141880,1111514,1030366,366961,156398,210563,963558,621353,342205,133997626,54633748,79363878
9,0,0,0,0,0,STATE,UTTAR PRADESH,Rural,25685942,155317278,80992995,74324283,25040583,13135595,11904988,35685227,18663920,17021307,1031076,526315,504761,85284680,51793688,33490992,70032598,29199307,40833291,51950980,38352879,13598101,33538817,27812347,5726470,15103331,13299811,1803520,9094209,7205459,1888750,1485130,962736,522394,7856147,6344341,1511806,18412163,10540532,7871631,3397651,1730473,1667178,9816370,5752374,4063996,1202720,532160,670560,3995422,2525525,1469897,14491868,8531773,5960095,2584473,1355428,1229045,7740137,4685254,3054883,890292,403454,486838,3276966,2087637,1189329,3920295,2008759,1911536,813178,375045,438133,2076233,1067120,1009113,312428,128706,183722,718456,437888,280568,103366298,42640116,60726182
9,0,0,0,0,0,STATE,UTTAR PRADESH,Urban,7762093,44495063,23487515,21007548,5750748,3049986,2700762,5672381,3013055,2659326,103197,54768,48429,29112875,16441276,12671599,15382188,7046239,8335949,13863735,11493883,2369852,11096675,9607952,1488723,473084,427618,45466,655706,572118,83588,924306,706735,217571,9043579,7901481,1142098,2767060,1885931,881129,83822,53631,30191,372938,273491,99447,286434,152505,133929,2023866,1406304,617562,2393281,1625031,768250,75325,48282,27043,307291,229097,78194,231901,124813,107088,1778764,1222839,555925,373779,260900,112879,8497,5349,3148,65647,44394,21253,54533,27692,26841,245102,183465,61637,30631328,11993632,18637696
10,0,0,0,0,0,STATE,BIHAR,Total,18913565,104099452,54278157,49821295,19133964,9887239,9246725,16567325,8606253,7961072,1336573,682516,654057,52504553,31608023,20896530,51594899,22670134,28924765,34724987,25222189,9502798,21359611,17270690,4088921,5413181,4688683,724498,9537418,7373292,2164126,779576,488797,290779,5629436,4719918,909518,13365376,7951499,5413877,1783045,1056737,726308,8808231,5197425,3610806,631632,273321,358311,2142468,1424016,718452,10922864,6728476,4194388,1446100,886729,559371,7211520,4416964,2794556,465751,213329,252422,1799493,1211454,588039,2442512,1223023,1219489,336945,170008,166937,1596711,780461,816250,165881,59992,105889,342975,212562,130413,69374465,29055968,40318497
10,0,0,0,0,0,STATE,BIHAR,Rural,16862940,92341436,48073850,44267586,17383701,8971671,8412030,15344215,7964360,7379855,1270851,648535,622316,44812152,27241830,17570322,47529284,20832020,26697264,31359767,22436685,8923082,18723966,14988080,3735886,5261564,4551866,709698,9225709,7113170,2112539,624910,371674,253236,3611783,2951370,660413,12635801,7448605,5187196,1746496,1032098,714398,8606191,5060587,3545604,568291,238523,329768,1714823,1117397,597426,10297303,6292958,4004345,1414144,864809,549335,7043924,4299954,2743970,415888,185028,230860,1423347,943167,480180,2338498,1155647,1182851,332352,167289,165063,1562267,760633,801634,152403,53495,98908,291476,174230,117246,60981669,25637165,35344504
10,0,0,0,0,0,STATE,BIHAR,Urban,2050625,11758016,6204307,5553709,1750263,915568,834695,1223110,641893,581217,65722,33981,31741,7692401,4366193,3326208,4065615,1838114,2227501,3365220,2785504,579716,2635645,2282610,353035,151617,136817,14800,311709,260122,51587,154666,117123,37543,2017653,1768548,249105,729575,502894,226681,36549,24639,11910,202040,136838,65202,63341,34798,28543,427645,306619,121026,625561,435518,190043,31956,21920,10036,167596,117010,50586,49863,28301,21562,376146,268287,107859,104014,67376,36638,4593,2719,1874,34444,19828,14616,13478,6497,6981,51499,38332,13167,8392796,3418803,4973993
